Date,Stream,Site,Timed Sample,Species,Total Specimens,Area Sampled (m^2,Specimens/m^2,,
2022,Cave Creek,Site 9,Timed 2,hellgrammite,11,16.45,0.669,,
2022,Cave Creek,Site 9,Timed 2,oplonaeschna,1,16.45,0.061,,
2022,Cave Creek,Site 9,Timed 2,bellastomata,1,16.45,0.061,,
2022,Cave Creek,Site 9,Timed 2,damselfly,10,16.45,0.608,,
2022,Cave Creek,Site 9,Timed 2,RRS,3,16.45,0.182,,
2022,Cave Creek,Site 9,Timed 2,predatory beetles,30,16.45,1.824,,
2022,Cave Creek,Site 9,Timed 2,water fleas,10,16.45,0.608,,
2022,Cave Creek,Site 9,Timed 2,caddisflies,5,16.45,0.304,,
2022,Cave Creek,Herb Martyr,Timed 1,hellgrammite,10,24.2,0.413,,
2022,Cave Creek,Herb Martyr,Timed 1,oplonaeschna,3,24.2,0.124,,
2022,Cave Creek,Herb Martyr,Timed 1,bellastomata,2,24.2,0.083,,
2022,Cave Creek,Herb Martyr,Timed 1,damselfly,3,24.2,0.124,,
2022,Cave Creek,Herb Martyr,Timed 1,RRS,3,24.2,0.124,,
2022,Cave Creek,Herb Martyr,Timed 1,predatory beetles,8,24.2,0.331,,
2022,Cave Creek,Herb Martyr,Timed 1,water fleas,5,24.2,0.207,,
2022,Cave Creek,Herb Martyr,Timed 1,caddisflies,10,24.2,0.413,,
2022,Cave Creek,Herb Martyr,Timed 2,hellgrammite,10,28.6,0.350,,
2022,Cave Creek,Herb Martyr,Timed 2,oplonaeschna,1,28.6,0.035,,
2022,Cave Creek,Herb Martyr,Timed 2,bellastomata,3,28.6,0.105,,
2022,Cave Creek,Herb Martyr,Timed 2,damselfly,4,28.6,0.140,,
2022,Cave Creek,Herb Martyr,Timed 2,RRS,1,28.6,0.035,,
2022,Cave Creek,Herb Martyr,Timed 2,predatory beetles,5,28.6,0.175,,
2022,Cave Creek,Herb Martyr,Timed 2,water fleas,10,28.6,0.350,,
2022,Cave Creek,Herb Martyr,Timed 2,caddisflies,25,28.6,0.874,,
2022,Cave Creek,John Hands,Timed 1,hellgrammite,11,23.05,0.477,,
2022,Cave Creek,John Hands,Timed 1,oplonaeschna,1,23.05,0.043,,
2022,Cave Creek,John Hands,Timed 1,bellastomata,1,23.05,0.043,,
2022,Cave Creek,John Hands,Timed 1,damselfly,2,23.05,0.087,,
2022,Cave Creek,John Hands,Timed 1,RRS,0,23.05,0.000,,
2022,Cave Creek,John Hands,Timed 1,predatory beetles,20,23.05,0.868,,
2022,Cave Creek,John Hands,Timed 1,water fleas,10,23.05,0.434,,
2022,Cave Creek,John Hands,Timed 1,caddisflies,5,23.05,0.217,,
2022,Cave Creek,John Hands,Timed 2,hellgrammite,5,21,0.238,,
2022,Cave Creek,John Hands,Timed 2,oplonaeschna,1,21,0.048,,
2022,Cave Creek,John Hands,Timed 2,bellastomata,0,21,0.000,,
2022,Cave Creek,John Hands,Timed 2,damselfly,1,21,0.048,,
2022,Cave Creek,John Hands,Timed 2,RRS,0,21,0.000,,
2022,Cave Creek,John Hands,Timed 2,predatory beetles,15,21,0.714,,
2022,Cave Creek,John Hands,Timed 2,water fleas,5,21,0.238,,
2022,Cave Creek,John Hands,Timed 2,caddisflies,0,21,0.000,,
2022,Cave Creek,Research Station,Timed 1,hellgrammite,7,30.55,0.229,,
2022,Cave Creek,Research Station,Timed 1,oplonaeschna,0,30.55,0.000,,
2022,Cave Creek,Research Station,Timed 1,bellastomata,2,30.55,0.065,,
2022,Cave Creek,Research Station,Timed 1,damselfly,0,30.55,0.000,,
2022,Cave Creek,Research Station,Timed 1,RRS,8,30.55,0.262,,
2022,Cave Creek,Research Station,Timed 1,predatory beetles,0,30.55,0.000,,
2022,Cave Creek,Research Station,Timed 1,water fleas,0,30.55,0.000,,
2022,Cave Creek,Research Station,Timed 1,caddisflies,0,30.55,0.000,,
2022,Cave Creek,Research Station,Timed 2,hellgrammite,7,39.4,0.178,,
2022,Cave Creek,Research Station,Timed 2,oplonaeschna,0,39.4,0.000,,
2022,Cave Creek,Research Station,Timed 2,bellastomata,0,39.4,0.000,,
2022,Cave Creek,Research Station,Timed 2,damselfly,2,39.4,0.051,,
2022,Cave Creek,Research Station,Timed 2,RRS,8,39.4,0.203,,
2022,Cave Creek,Research Station,Timed 2,predatory beetles,0,39.4,0.000,,
2022,Cave Creek,Research Station,Timed 2,water fleas,0,39.4,0.000,,
2022,Cave Creek,Research Station,Timed 2,caddisflies,0,39.4,0.000,,
