"","date","stream","site","timed_sample","species","total_specimens","area_sampled_m_2","specimens_m_2","altitude","area_sampled","x9","site_10","species_11","timed_1_count","timed_2_count","mean_count","sd","se","specimens_m_2_01","altitude_km"
"27",2016,"West Turkey","Low Bridge",1,"hellgrammite",2,36,0.056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.057,NA
"28",2016,"West Turkey","White House",1,"oplonaeschna",1,33.9,0.029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,NA
"29",2016,"West Turkey","Sycamore",1,"oplonaeschna",3,24,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.126,NA
"30",2016,"West Turkey","Bear Sign",1,"hellgrammite",5,21.75,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.231,NA
"31",2022,"Cave Creek","Site 9",1,"hellgrammite",28,NA,1.614,1825,17.35,NA,"Site 9","hellgrammite",28,11,19.5,12.02081528,8.5,1.615,1.825
"32",2022,"Cave Creek","Site 9",1,"oplonaeschna",2,NA,0.115,1825,17.35,NA,"Site 9","oplonaeschna",2,1,1.5,0.707106781,0.5,0.116,1.825
"33",2022,"Cave Creek","Site 9",1,"RRS",0,NA,0,1825,17.35,NA,"Herb Matyr","hellgrammite",10,10,10,0,0,0.001,1.825
"34",2022,"Cave Creek","Site 9",2,"hellgrammite",11,NA,0.669,1825,16.45,NA,"John Hands","hellgrammite",11,5,8,4.242640687,3,0.67,1.825
"35",2022,"Cave Creek","Site 9",2,"oplonaeschna",1,NA,0.061,1825,16.45,NA,"John Hands","oplonaeschna",1,1,1,0,0,0.062,1.825
"36",2022,"Cave Creek","Site 9",2,"RRS",3,NA,0.182,1825,16.45,NA,"Research Station","hellgrammite",7,7,7,0,0,0.183,1.825
"37",2022,"Cave Creek","Herb Martyr",1,"hellgrammite",10,NA,0.413,1760,24.2,NA,NA,NA,NA,NA,NA,NA,NA,0.414,1.76
"38",2022,"Cave Creek","Herb Martyr",1,"oplonaeschna",3,NA,0.124,1760,24.2,NA,NA,NA,NA,NA,NA,NA,NA,0.125,1.76
"39",2022,"Cave Creek","Herb Martyr",1,"RRS",3,NA,0.124,1760,24.2,NA,NA,NA,NA,NA,NA,NA,NA,0.125,1.76
"40",2022,"Cave Creek","Herb Martyr",2,"hellgrammite",10,NA,0.35,1760,28.6,NA,NA,NA,NA,NA,NA,NA,NA,0.351,1.76
"41",2022,"Cave Creek","Herb Martyr",2,"oplonaeschna",1,NA,0.035,1760,28.6,NA,NA,NA,NA,NA,NA,NA,NA,0.036,1.76
"42",2022,"Cave Creek","Herb Martyr",2,"RRS",1,NA,0.035,1760,28.6,NA,NA,NA,NA,NA,NA,NA,NA,0.036,1.76
"43",2022,"Cave Creek","John Hands",1,"hellgrammite",11,NA,0.477,1715,23.05,NA,NA,NA,NA,NA,NA,NA,NA,0.478,1.715
"44",2022,"Cave Creek","John Hands",1,"oplonaeschna",1,NA,0.043,1715,23.05,NA,NA,NA,NA,NA,NA,NA,NA,0.044,1.715
"45",2022,"Cave Creek","John Hands",1,"RRS",0,NA,0,1715,23.05,NA,NA,NA,NA,NA,NA,NA,NA,0.001,1.715
"46",2022,"Cave Creek","John Hands",2,"hellgrammite",5,NA,0.238,1715,21,NA,NA,NA,NA,NA,NA,NA,NA,0.239,1.715
"47",2022,"Cave Creek","John Hands",2,"oplonaeschna",1,NA,0.048,1715,21,NA,NA,NA,NA,NA,NA,NA,NA,0.049,1.715
"48",2022,"Cave Creek","John Hands",2,"RRS",0,NA,0,1715,21,NA,NA,NA,NA,NA,NA,NA,NA,0.001,1.715
"49",2022,"Cave Creek","Research Station",1,"hellgrammite",7,NA,0.229,1615,30.55,NA,NA,NA,NA,NA,NA,NA,NA,0.23,1.615
"50",2022,"Cave Creek","Research Station",1,"oplonaeschna",0,NA,0,1615,30.55,NA,NA,NA,NA,NA,NA,NA,NA,0.001,1.615
"51",2022,"Cave Creek","Research Station",1,"RRS",8,NA,0.262,1615,30.55,NA,NA,NA,NA,NA,NA,NA,NA,0.263,1.615
"52",2022,"Cave Creek","Research Station",2,"hellgrammite",7,NA,0.178,1615,39.4,NA,NA,NA,NA,NA,NA,NA,NA,0.179,1.615
"53",2022,"Cave Creek","Research Station",2,"oplonaeschna",0,NA,0,1615,39.4,NA,NA,NA,NA,NA,NA,NA,NA,0.001,1.615
"54",2022,"Cave Creek","Research Station",2,"RRS",8,NA,0.203,1615,39.4,NA,NA,NA,NA,NA,NA,NA,NA,0.204,1.615
